COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE
LOST/UNREC,"Phone is lost underwater, impossible to retrieve it.",111140708.0,Sprint,05-MAY-17 12.09.30.732000000 PM
CRCKSCRN,Not sure. Phone was in a gym bag and when taken out was damaged. We took the device to a sprint store who said they are unable to repair it and to submit a claim.,103000000000.0,Sprint,04-MAY-17 03.57.17.006000000 AM
LQDDMG,My phone had issues lately with staying charged and cutting off but before I was able to call I spilled a drink on it and now it will not turn on.,103000000000.0,Sprint,22-APR-17 03.47.25.237000000 PM
MLFUNC,phone will not charge,108000000000.0,Sprint,14-APR-17 03.22.25.188000000 PM
LOST/UNREC,I forget at the gym,102000000000.0,Sprint,07-JUN-17 05.50.55.375000000 PM
LQDDMG,My phone fell into the river while we were on our boat for Easter.,110000000000.0,Sprint,16-APR-17 11.21.53.679000000 PM
LQDDMG,water,105000000000.0,Sprint,05-MAY-17 10.16.16.618000000 PM
LOST/UNREC,lost it in the mall,101000000000.0,Sprint,06-JUN-17 12.29.39.216000000 AM
LQDDMG,Screen? is cracked as well as broken also has liquid (coffee) damaged.,110000000000.0,Sprint,17-MAY-17 05.43.42.512000000 PM
MLFUNC,this phone has not been working on and off since august and they keep telling me to contact customer service and then tell me to go into the store i have been going back and forth for months now,104000000000.0,Sprint,06-MAY-17 03.06.31.934000000 AM
LQDDMG,Cracked screen took in for repair and EVEN with outter case the tech said it had water damage,103000000000.0,Sprint,06-MAY-17 12.00.53.505000000 PM
STOLEN,Daughter had phone stolen,106000000000.0,Sprint,06-JUN-17 07.37.51.889000000 PM
LQDDMG,my daughter dropped it in the toilet,107000000000.0,Sprint,16-MAY-17 08.13.57.469000000 PM
CRCKSCRN,Dropped my phone on the curb and it landed face side down.,107000000000.0,Sprint,06-JUN-17 05.58.02.753000000 PM
LQDDMG,Washed my phone,111925714.0,Sprint,12-JUN-17 08.26.31.810000000 PM
CRCKSCRN,Dropped phone leaving work. Screen cracked and stopped working.,105000000000.0,Sprint,06-MAY-17 12.19.18.656000000 AM
MLFUNC,speaker phone and microphone stopped working.,113238785.0,Sprint,04-MAY-17 11.57.06.000000000 PM
LQDDMG,Fell in toilet,112913039.0,Sprint,07-JUN-17 09.51.22.634000000 PM
LOST/UNREC,Accidentally dropped phone off side of boat. :(,109000000000.0,Sprint,06-JUN-18 01.00.35.780000000 PM
MLFUNC,Apps will start closing on their own. Screen stop responding to touch,102000000000.0,Sprint,18-APR-17 10.21.03.998000000 PM
STOLEN,My chaild had the phone and they snatched it from her,104000000000.0,Sprint,16-MAY-17 11.38.46.765000000 PM
CRCKSCRN,The phone was dropped. It has a badly cracked screen. Cannot make or receive calls. The camera does not work.,108000000000.0,Sprint,04-MAY-17 09.19.05.897000000 PM
STOLEN,My phone was stolen on the street,108000000000.0,Sprint,12-JUN-17 06.58.17.819000000 PM
STOLEN,My I Pad was stolen while i was at work.,106000000000.0,Sprint,29-MAR-17 02.27.40.573000000 AM
LOST/UNREC,I went to the lake with family on boat. Phone ended up slipping out of hand and falling into water.,102000000000.0,Sprint,03-JUN-18 07.20.05.538000000 AM
CRCKSCRN,Device was dropped in parking lot,112410041.0,Sprint,06-MAY-17 04.06.46.198000000 PM
LOST/UNREC,i lost my phone a few hours ago when i was at the club because i was a little drunk and i think i left it in the bathroom and i need another phone as soon as possible please and thank you,104000000000.0,Sprint,06-JUN-17 06.47.22.356000000 AM
CRCKSCRN,This evening my phone would not charge at all. It has a cracked screen but no water damage and I have been to the sprint store personally.,106000000000.0,Sprint,06-MAY-17 12.41.14.292000000 AM
STOLEN,My phone was stolen out of my gym locker.,104000000000.0,Sprint,18-APR-17 08.53.35.794000000 PM
LQDDMG,The phone was dropped into the bathtub.,110158893.0,Sprint,19-APR-17 04.06.58.220000000 PM
CRCKSCRN,Will not hold a charge and delay in speaker,104000000000.0,Sprint,06-JUN-17 07.02.30.240000000 PM
MLFUNC,"My phone freezes up, has applications pop ups that I didn't download, and I'm not receiving texts or calls",109000000000.0,Sprint,17-JUN-17 05.20.00.683000000 AM
LQDDMG,My son was at the pool and accidntally dropped his phone in.,103000000000.0,Sprint,23-JUN-17 01.09.24.410000000 AM
MLFUNC,Speakers are really low,108000000000.0,Sprint,04-MAY-17 06.05.27.739000000 PM
MLFUNC,Power button is no longer functioning,112348367.0,Sprint,18-MAY-17 04.38.35.940000000 AM
LOST/UNREC,lost,113246257.0,Sprint,06-JUN-17 09.36.04.748000000 PM
MLFUNC,My phone will power on then shut off on its own. When i power the phone back on it goes to a safe screen or it going into boot recovery mode.,103000000000.0,Sprint,18-APR-17 09.30.40.588000000 PM
MLFUNC,Put to charge and not turn on Again,103000000000.0,Sprint,06-JUN-17 12.28.57.297000000 PM
CRCKSCRN,Somebody bumped into me and my phone flew onto the ground and cracked in multiple places. I cant use the numbers keyboard or the bottom portion of the screen because chunks are missing.,112313294.0,Sprint,05-MAY-17 04.27.32.333000000 PM
STOLEN,Stolen my phone,110000000000.0,Sprint,06-JUN-17 04.27.11.358000000 AM
STOLEN,Was at a lounge. Someone went into my purse and took my phone,109000000000.0,Sprint,06-JUN-17 02.24.29.743000000 PM
MLFUNC,My phone always blacks out and I cannot use it until it turns back on. Also it runs very slowly and freezes alot,102000000000.0,Sprint,06-JUN-17 01.48.09.836000000 AM
MLFUNC,The home botton is not working and the battery is going,105000000000.0,Sprint,06-MAY-17 03.17.54.287000000 AM
LOST/UNREC,I was walking in the park and I lost my cellphone,101000000000.0,Sprint,07-JUN-17 06.10.04.219000000 AM
STOLEN,Stolen,107000000000.0,Sprint,09-JUN-17 02.57.37.373000000 AM
LOST/UNREC,lost it,106000000000.0,Sprint,07-JUN-17 09.07.21.990000000 PM
MLFUNC,"My phone slid out of my cart at the grocery store, when I picked it up the screen has lines going up and down and only half of the touch screen works.",104000000000.0,Sprint,19-APR-17 04.54.21.379000000 AM
LQDDMG,"It appears to have liquid damage. The other day I had to remove the SIM and put it back. Today, every time I touched an app, the app would open, then immediately close. Then the screen was in and out. I cannot turn off. It has a turquoise background with a large down arrow and ""downloading"" that I cannot get out off that screen.",107000000000.0,Sprint,19-APR-17 09.15.55.226000000 PM
LOST/UNREC,The phone was in a car that was wrecked. It cannot be retrieved.,108000000000.0,Sprint,06-JUN-18 04.06.10.662000000 PM
STOLEN,"I left my tablet at a guys house and being the gem he is, instead of giving it back to me I never heard from him.",100000000000.0,Sprint,30-MAR-17 02.17.57.289000000 PM
MLFUNC,I had the phone on the counter charging over night. I woke up in the morning and the screen is black. Cant make calls or view the screen,110000000000.0,Sprint,15-JUN-17 09.17.34.824000000 PM
LOST/UNREC,"i drop my apple device in the train station when i was going home with my family, please support me, i need comunication.",109000000000.0,Sprint,04-MAY-17 05.54.00.505000000 PM
MLFUNC,"iphone randomly keeps cutting off, screen keeps turning black",101000000000.0,Sprint,17-MAY-17 03.55.19.080000000 PM
MLFUNC,Touch screen will not function. Phone was working well then screen stopped working.,103000000000.0,Sprint,17-MAY-17 07.07.11.906000000 PM
CRCKSCRN,it dropped and near the home button is shattered and there is no screen. Today it dropped and now my phone is blanking and I am unable to press any button.,105000000000.0,Sprint,06-MAY-17 02.58.14.312000000 AM
STOLEN,My cousin had it when he fell into the toilet. Now it does not work.,111912760.0,Sprint,17-MAY-17 11.34.41.187000000 PM
CRCKSCRN,touch screen would not work,102000000000.0,Sprint,07-JUN-17 12.21.05.571000000 AM
LOST/UNREC,I dropped my phone on the train tracks out of my pocket while boarding. I could not retrieve it before the train left.,109000000000.0,Sprint,02-JUN-18 03.28.13.081000000 AM
CRCKSCRN,phone was knocked from table and hit the ground,112625353.0,Sprint,06-JUN-17 08.00.00.771000000 PM
MLFUNC,"I had my phone connected to my pc at work charging. I took it off the charger, and the next time I look at the screen, it's black with white writing and says kernel crash. I was able to get it back on that night, but it still crashed and/or randomly shut down on and off Thursday and Friday. The green crash screen appeared today. My phone has been randomly shutting down and holding less of a charge for months.",101000000000.0,Sprint,15-APR-17 04.34.15.144000000 AM
LQDDMG,Fell into water,109463213.0,Sprint,08-JUN-17 01.43.59.407000000 PM
LQDDMG,my daughter drop my tablet in a puddle and it cracked and got wet,104000000000.0,Sprint,18-APR-17 12.39.58.700000000 PM
CRCKSCRN,"Screen stopped working, store says damage is liquid or corrosion. Headphone jack never worked.",105000000000.0,Sprint,04-MAY-17 11.32.56.600000000 PM
LOST/UNREC,lost my phone,107000000000.0,Sprint,06-JUN-17 11.16.52.726000000 PM
STOLEN,I dont know where I lost it,101000000000.0,Sprint,23-JUN-17 10.55.59.617000000 PM
STOLEN,stolen in the park,103000000000.0,Sprint,17-MAY-17 11.07.32.102000000 PM
MLFUNC,I was checking some information on the phone and the screen want black and is trying to rebot itself,110520193.0,Sprint,15-APR-17 10.50.04.689000000 PM
STOLEN,Left at airport table charging. Never turned back in to security or anyone else.,108000000000.0,Sprint,23-MAY-17 02.36.39.558000000 AM
CRCKSCRN,I dropped my phone and it cracked then someone stepped on it when I did.,104000000000.0,Sprint,04-MAY-17 07.37.37.858000000 PM
STOLEN,"Was playing football in the park, when I went back to check my phone where my bag was, it was not there.",107000000000.0,Sprint,09-JUN-17 08.20.59.278000000 PM
STOLEN,This phone was for my son. He alerted me that it was stolen,106000000000.0,Sprint,06-MAY-17 01.31.50.913000000 AM
CRCKSCRN,Dropped the phone getting out the car,103000000000.0,Sprint,07-JUN-17 04.50.52.644000000 PM
LQDDMG,tablet was dropped and there was a little water where it fell,101000000000.0,Sprint,17-MAY-17 03.43.11.870000000 PM
LOST/UNREC,Fell and Accidentally drop phone in the lake,100000000000.0,Sprint,01-JUN-18 08.18.41.039000000 PM
MLFUNC,just lost signal one day,103000000000.0,Sprint,16-APR-17 11.00.58.055000000 AM
LOST/UNREC,"i was in the car with friends and we park, then i go to step out the car and didnít realize my phone was on my lap i stood up and my phone slid off my lap down into the sewer",105000000000.0,Sprint,06-JUN-18 11.05.37.883000000 PM
LOST/UNREC,i lost my cell phone on the bar,100000000000.0,Sprint,06-JUN-17 06.47.51.028000000 PM
STOLEN,I was at the grocery store and accidentally left my phone in the bathroom. When I came back it was gone. I called customer service and no one returned my phone.,110000000000.0,Sprint,09-MAY-17 04.36.40.178000000 AM
STOLEN,I LOST MY IPHONE IN THE PARK.,106000000000.0,Sprint,19-APR-17 03.15.04.826000000 AM
LQDDMG,A child threw my phone on the sidewalk when i wasn't paying attention.,110000000000.0,Sprint,24-APR-17 04.59.47.982000000 AM
LOST/UNREC,I got put out off my friends house and they said they sold my phone,105000000000.0,Sprint,03-MAY-17 11.24.23.707000000 PM
MLFUNC,"When I unplugged my phone this morning, it had turned off due to overheating. The charging cable was burnt and now my phone will not charge.",110000000000.0,Sprint,07-MAY-17 09.38.05.641000000 PM
LQDDMG,"Phone was dropped, and spilled liquid. Touch screen will not function. Screen display blurry.",109000000000.0,Sprint,05-MAY-17 02.16.15.601000000 PM
LQDDMG,Phone dropped in pool,110413594.0,Sprint,08-JUN-17 05.04.53.617000000 PM
CRCKSCRN,"As I was walking my dog, he ran away and the leash pulled. I used my other hand to grab the leash and dropping my phone onto the concrete.",101000000000.0,Sprint,06-JUN-17 05.41.57.886000000 PM
LQDDMG,My 1 year old son got ahold to my phone threw it in bath water.,112958539.0,Sprint,23-JUN-17 10.07.18.784000000 PM
CRCKSCRN,Dropped phone and cracked screen. Cracks have gotten more severe.,110985740.0,Sprint,07-JUN-17 08.46.58.666000000 PM
MLFUNC,Phone will not keep charge. Takes 5 to charge 100%; will drain of battery life in 10 minutes and shut off immediately.,102000000000.0,Sprint,07-JUN-17 02.38.15.429000000 AM
LQDDMG,Dropped phone in pool,108000000000.0,Sprint,23-JUN-17 11.02.21.508000000 PM
LOST/UNREC,Was out fishing and stood up and fell out of my pocket,103000000000.0,Sprint,01-JUN-18 10.27.03.967000000 PM
LOST/UNREC,i was on the train and i lost my package with my phone inside,103000000000.0,Sprint,06-JUN-17 01.03.56.076000000 AM
STOLEN,STOLEN MY PHONE,101000000000.0,Sprint,18-MAY-17 05.03.29.279000000 PM
MLFUNC,It will not charge.,102000000000.0,Sprint,08-JUN-17 06.38.20.889000000 PM
MLFUNC,my home button got cracked and no longer works and constantly stays hot which causes my phone to lose charge rapidly gets hotter when charging,113252786.0,Sprint,07-MAY-17 10.44.53.000000000 PM
CRCKSCRN,I dropped my phone into the stairs,110000000000.0,Sprint,05-MAY-17 12.50.11.089000000 AM
STOLEN,Was at Lacrosse game and stepped away from my chair. Came back and the phone was gone. Tried calling it to see if I could hear it ring but went straight to voicemail. It only had about 20% battery life on it when it went missing.,111508267.0,Sprint,04-MAY-17 10.16.04.461000000 PM
STOLEN,Stolen my phone,109000000000.0,Sprint,06-JUN-17 03.20.15.443000000 AM
STOLEN,My phone was at work,104000000000.0,Sprint,04-MAY-17 04.44.52.523000000 PM
LOST/UNREC,i lost my cell phone on the bar,104000000000.0,Sprint,06-JUN-17 05.08.54.855000000 PM
CRCKSCRN,"A Sprint associate handed me the phone while it was still connected to another device (he was doing Samsung smart switch) and the phone fell face down. Note - The address listed is not correct, but it would not let me change. Real address - Chandler Huffer 2225 Lynx Drive Virginia Beach, Virginia 23456",101000000000.0,Sprint,06-JUN-17 11.47.45.845000000 PM
STOLEN,I work in a Medical plaza where there are many Dr's in different specialties. I had set my phone on the counter to grab my bags and when i looked up it was gone. It was set on the counter right next to the front door.,101000000000.0,Sprint,16-MAY-17 01.49.37.130000000 AM
LOST/UNREC,Lost at gym,108000000000.0,Sprint,06-JUN-17 11.44.39.901000000 PM
LQDDMG,"i placed my phone on top of the truck to put some items inside and it slid off and hit the concrete, then my daughter knocked over her milk shake and it waste on my phone so i think the liquid is in the speaker cause i can't hear anything",112869259.0,Sprint,11-MAR-17 07.41.35.000000000 AM
LOST/UNREC,I LOST IN TAXI,106000000000.0,Sprint,07-JUN-17 05.00.40.044000000 PM
CRCKSCRN,"My phone was placed on a table, and the table was knocked over. My phone landed face down on the concrete. The screen is completely cracked and I can't use my phone at all. This is my primary phone and I need it for emergencies with my children.",103000000000.0,Sprint,06-JUN-17 04.21.13.379000000 PM
LQDDMG,water,101000000000.0,Sprint,05-MAY-17 08.15.52.127000000 PM
CRCKSCRN,"Dropped phone front glass cracked , phone on no display",108000000000.0,Sprint,07-JUN-17 06.19.43.031000000 AM
LQDDMG,It possibly has gotten water from rain in it my son says because its not charging,102000000000.0,Sprint,23-APR-17 04.20.11.579000000 PM
LOST/UNREC,"Phone is missing , it was last seen on my desk at work and is no longer there",103000000000.0,Sprint,04-MAY-17 01.10.49.922000000 PM
LOST/UNREC,Was in school backpack - was lost at some point during the day. Tried to find it and still nothing,105000000000.0,Sprint,03-MAY-17 10.57.16.987000000 PM
LQDDMG,I was cleaning hot tub and it fell in water,102000000000.0,Sprint,04-MAY-17 10.06.14.246000000 PM
LQDDMG,Phone fell into a puddle of water. Turned off afterwards. Won't turn on or charge,108000000000.0,Sprint,13-JUN-17 01.00.58.228000000 AM
LOST/UNREC,lost,105000000000.0,Sprint,06-JUN-17 02.51.18.112000000 PM
MLFUNC,Phone is shutting of itself. Corporate store try to repair 5 time stated it's a software issue they can not fix,104000000000.0,Sprint,05-MAY-17 10.55.16.033000000 PM
MLFUNC,"Hard to hear on any body when listening, have to use speaker, while everbody listening to my conversation",109000000000.0,Sprint,04-MAY-17 09.47.55.412000000 AM
CRCKSCRN,phone screen cracked and phone stop working,112801389.0,Sprint,02-MAR-17 12.29.09.000000000 PM
CRCKSCRN,I dropped the phone and the screen cracked. Device will no longer turn on.,109000000000.0,Sprint,05-APR-17 07.52.59.717000000 PM
CRCKSCRN,phone fell off a car,113248970.0,Sprint,06-MAY-17 10.49.22.000000000 PM
LOST/UNREC,Drop phone in bayou while fishing,106000000000.0,Sprint,03-JUN-18 08.13.35.603000000 PM
LOST/UNREC,I lost my phone when I was leaving my house,103000000000.0,Sprint,06-JUN-17 05.27.57.140000000 PM
CRCKSCRN,My iPad flew off the trip-pod after a huge gust of wind hit. It crashed face first on jagged rocks. The screen is fried and missing portions of the screen,103000000000.0,Sprint,05-MAY-17 12.44.39.797000000 AM
STOLEN,"Stolen from work on May 30th, 2017. Have tried to track it down and am having no luck.",106000000000.0,Sprint,06-JUN-17 06.35.02.886000000 PM
LQDDMG,damage,103000000000.0,Sprint,19-APR-17 06.07.59.014000000 PM
CRCKSCRN,Dropped phone then data and apps calls etc stopped working,109000000000.0,Sprint,04-MAY-17 03.48.55.475000000 PM
LOST/UNREC,MY CELL PHONE WAS LOST IN THE STREET,111346849.0,Sprint,06-JUN-17 10.57.55.380000000 PM
LQDDMG,Water damage,110798879.0,Sprint,18-APR-17 06.51.22.660000000 PM
MLFUNC,phone fell out of pocket and was accidentally ran over by the car.,107000000000.0,Sprint,06-JUN-17 09.23.51.572000000 PM
STOLEN,in the park,103000000000.0,Sprint,23-MAY-17 01.40.15.015000000 AM
LOST/UNREC,My device was lose when i was in the park with my family,103000000000.0,Sprint,04-MAY-17 07.08.41.383000000 PM
LQDDMG,Dropped phone in puddle of water while running during storm.,106000000000.0,Sprint,19-APR-17 10.49.39.680000000 PM
LQDDMG,my device dropped in the pool,101000000000.0,Sprint,19-MAY-17 01.27.17.702000000 AM
LQDDMG,it fell into the toilet.,113289112.0,Sprint,15-MAY-17 01.20.10.000000000 PM
MLFUNC,I dont know it just stopped letting me move anything on the screen.,110609412.0,Sprint,15-MAY-17 10.19.56.818000000 PM
STOLEN,Someone stole this phone out of my bookbag,108000000000.0,Sprint,24-JUN-17 12.06.26.956000000 AM
LOST/UNREC,it lost,104000000000.0,Sprint,04-MAY-17 01.45.26.291000000 PM
LQDDMG,i had no incident of equipment exposed to liquid but that is what i was told at the store when it was examined. in any case it is not working at all.,113222663.0,Sprint,02-MAY-17 01.33.39.000000000 PM
LQDDMG,Was Pushed into swimming pool with phone in pocket,102000000000.0,Sprint,12-JUN-17 07.24.53.211000000 PM
CRCKSCRN,screen is cracked,113034415.0,Sprint,02-APR-17 12.03.50.000000000 PM
MLFUNC,Phone started mulfunctioning,106000000000.0,Sprint,09-JUN-17 07.54.01.909000000 AM
STOLEN,my car was stolen and my purse and phone was inside.,112691603.0,Sprint,16-FEB-17 05.04.27.000000000 PM
LOST/UNREC,in lost it in the gmae golf,109000000000.0,Sprint,06-JUN-17 01.41.03.698000000 AM
LOST/UNREC,I got lost on the way home,103000000000.0,Sprint,07-JUN-17 03.43.52.458000000 AM
CRCKSCRN,My dog got off it's leash and I ran to get him and my phone dropped.,105000000000.0,Sprint,06-MAY-17 03.49.52.824000000 PM
CRCKSCRN,Dropped phone,106000000000.0,Sprint,04-MAY-17 12.23.04.464000000 AM
LOST/UNREC,My iphone is lost im the school,101000000000.0,Sprint,07-JUN-17 03.46.18.694000000 PM
LOST/UNREC,I've tried to locate it but it wasn't turned in at the restaurant I was at and it won't let me do the find my phone.,108000000000.0,Sprint,06-JUN-17 05.05.10.159000000 PM
LOST/UNREC,Lost Phone In Party. Sat it down on the Bar and havent seen it since.,102000000000.0,Sprint,05-MAY-17 01.54.45.768000000 AM
LQDDMG,let it drop,110000000000.0,Sprint,23-JUN-17 12.57.14.182000000 AM
LQDDMG,Dropped in water.,109000000000.0,Sprint,22-APR-17 09.56.25.403000000 PM
MLFUNC,Product was replaced in store with a Verizon model 6s through equipment replacement and it hasn't been working properly. Battery life is under 4 hours from full charge to dead and it has multiple cellular data issues that have not been resolved with multiple calls to service.,110000000000.0,Sprint,04-MAY-17 03.24.02.380000000 PM
MLFUNC,"phone rang and i had a normal conversation. i put the phone back in my pocket. Next time i take the phone out, i have missed notifications and what not due to no audio coming from the device. while researching audio issues with the device on google, the screen quit working on me as well.",101000000000.0,Sprint,16-APR-17 05.36.47.724000000 AM
LOST/UNREC,I forget my phone into the plane,104000000000.0,Sprint,04-MAY-17 02.56.49.526000000 PM
CRCKSCRN,"I was cleaning my phone when i dropped it after a friend startled me(otherwise it stays in the lifeproof case at all times) and it landed in an unusual way that led to the screen cracking. im not sure what caused the battery malfunction, as it seemed to start happening 2 days after the screen cracked, but it wont seem to turn on at all anymore. when its plugged in it shows all sorts of seemingly random different charges.",103000000000.0,Sprint,04-MAY-17 02.25.32.048000000 PM
STOLEN,Teacher was charging it. Someone stole it off her desk,101000000000.0,Sprint,06-MAY-17 11.34.54.242000000 AM
LOST/UNREC,i lost my phone in the lake,101000000000.0,Sprint,05-MAY-17 12.36.57.646000000 AM
LQDDMG,Phone was dropped and smashed and may have gotten some water in through the cracks,112101683.0,Sprint,10-JUN-17 08.25.18.642000000 PM
MLFUNC,Phone has touch screen issues,100000000000.0,Sprint,16-MAY-17 12.17.08.974000000 AM
LQDDMG,I dropped my phone in a puddle of water. The screen is cracked. The phone will not turn back on.,111916190.0,Sprint,23-MAY-17 08.32.37.634000000 PM
LQDDMG,"Phone was dropped at school. I am uncertain about liquid damage, but would guess it's taken on at least some liquid since being dropped/cracked.",110341702.0,Sprint,05-APR-17 10.50.20.078000000 AM
CRCKSCRN,my daughter dropped her phone and cracked screen,101000000000.0,Sprint,05-MAY-17 07.07.32.550000000 PM
LOST/UNREC,I left my phone at a theatre and returned to it missing,103000000000.0,Sprint,07-JUN-17 11.30.38.953000000 PM
