COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE,Unnamed: 5
LOST/UNREC,my phone was lost in the bus,1.05E+11,Sprint,09-JUN-17 03.36.02.818000000 PM,
LQDDMG,Phone dropped into the toilet. no longer turns on. Took phone to sprint. Broken beyond repair.,4FD3993C23C5799CE053A239030A1988,113000000,Sprint,
MLFUNC,Sounds like I'm under water no one can hear me,1E7794C405B205409EB865F6B4202010,1.00E+11,Sprint,
LOST/UNREC,I dropeed in mall,1.02E+11,Sprint,07-JUN-17 02.59.50.470000000 AM,
LOST/UNREC,i went to the beach last night and i was in a boat when i fell into the water my phone fell and i cant find it,1.00E+11,Sprint,17-MAY-17 12.42.44.666000000 PM,
MLFUNC,My phone won't charge. I've used numerous different chargers.,1.06E+11,Sprint,18-APR-17 03.08.23.071000000 PM,
MLFUNC,"No clue, Took the phone into Apple, Battery is not working anymore. Told me to pay 180$ or go with my insurance.",1E77DEF804850810A81B0F8C418D0E55,1.00E+11,Sprint,
LOST/UNREC,"lost in moving boxes, might have been donated by accident",1.08E+11,Sprint,05-JUN-18 10.36.13.010000000 PM,
MLFUNC,The audio does not work very well. The speakers sound muffled. Then the tiny speaker for calls stopped working.,1E7341BADA600730AE7B005056873580,1.08E+11,Sprint,
CRCKSCRN,I accidently dropped my phone and the screen went black,1.03E+11,Sprint,06-JUN-17 07.26.47.147000000 PM,
MLFUNC,It automatically turned off while I was at work. It acts like it will turn on and gives the start up screen but never actually turns on. The phone then dies. And I charge it and it does the same thing over and over again.,1E779F3D931C01A08AF191945196A36F,1.05E+11,Sprint,
MLFUNC,will not hold charge,1E77DDD027F60FC09D8B552A0CBC75AE,1.04E+11,Sprint,
CRCKSCRN,Got ran over,1.00E+11,Sprint,19-APR-17 04.15.44.459000000 PM,
LOST/UNREC,i lost my phone a few hours ago when i was at the club because i was a little drunk and i think i left it in the bathroom and i need another phone as soon as possible please and thank you,1.04E+11,Sprint,06-JUN-17 06.47.22.356000000 AM,
LQDDMG,Phone fell into a sink of water.,1.07E+11,Sprint,21-APR-17 09.38.56.741000000 PM,
STOLEN,It was stolen at Lollapalooza Festival in Chicago.,1E77BC5375EC01608AF191945196A36F,1.04E+11,Sprint,
STOLEN,Phone was stolen out of my carf.,1E74E29B52B002D08B44005056876829,1.01E+11,Sprint,
STOLEN,my phone was stolen on the way to work,1E78A92A74A902708D5C7339CFA56652,1.06E+11,Sprint,
LQDDMG,Phone fell in the toilet.,1E79A2842FE202508A2BEB733C81B880,1.04E+11,Sprint,
LOST/UNREC,lost phone while out of town in mexico,1.09E+11,Sprint,22-JUN-17 09.43.59.745000000 PM,
LQDDMG,Was running and some how it got water damage from my sweat,1E70C4F80EBD0BA08683005056874965,112000000,Sprint,
CRCKSCRN,sat on my phone,1.09E+11,Sprint,07-JUN-17 11.37.09.897000000 PM,
LQDDMG,Fell in a pool.,522D805971FA5F4BE053A339030A2233,113000000,Sprint,
CRCKSCRN,"On 04-01-2017 woke up and noticed top left corner of screen was cracked, over the course of the next two days the screen began the blacken out until today the screen is completely blank and the crack has grown into a longer thin crack down the center of the screen. Thinking it fell off the bed and hit the railing while I was asleep.",1.05E+11,Sprint,04-MAY-17 04.23.14.763000000 PM,
LQDDMG,was in washer,1E70C4F80B9F0631A0C2005056870405,112000000,Sprint,
LOST/UNREC,I lost my cellphone,1.01E+11,Sprint,23-JUN-17 05.11.14.856000000 AM,
LQDDMG,my device dropped in the pool,1.08E+11,Sprint,18-MAY-17 09.02.34.337000000 PM,
LQDDMG,Fell in the toilet,1.09E+11,Sprint,25-APR-17 07.29.44.585000000 PM,
CRCKSCRN,Was in a car accident phone was in back pocket not sure if there is anything internally wrong with phone?,1.05E+11,Sprint,18-APR-17 04.28.37.605000000 PM,
LOST/UNREC,Was at the park with my kid and find out I lost my phone when tried to make a phone call.,1.03E+11,Sprint,09-JUN-17 01.21.40.700000000 PM,
LOST/UNREC,I lost my phone,1.07E+11,Sprint,18-MAY-17 05.40.35.000000000 AM,
CRCKSCRN,my phone fell and the screen cracked.,113271826,Sprint,11-MAY-17 12.01.19.000000000 PM,
LQDDMG,"While I was making dinner,my 6 year old kid dropped the phone into the toilet",1.04E+11,Sprint,24-APR-17 08.20.14.048000000 AM,
MLFUNC,UNLOCK KEY IS MAKING A RATTLE SOUND AND WHEN SOMEONE CALLS THE PHONE MAKES A STATIC SOUND WHEN ON VIBRATE,1E77EA5B459D0820A81B0F8C418D0E55,1.02E+11,Sprint,
STOLEN,"was out with friends, left it on a table and when i returned it was gone",1E775366B4460E20AB2C4B71BC1C6081,1.03E+11,Sprint,
LOST/UNREC,lost in the park,1.03E+11,Sprint,09-MAY-17 03.51.35.510000000 PM,
LQDDMG,Fell and cracked getting out of car in puddle creating water damage.,513E5AC558D62996E053A339030A05F0,112000000,Sprint,
CRCKSCRN,phone fell on ground,1.08E+11,Sprint,04-MAY-17 09.02.30.910000000 PM,
LOST/UNREC,I missed the phone on the way home,1.06E+11,Sprint,05-MAY-17 03.19.09.308000000 PM,
MLFUNC,Will not charge I've tried multiple charges and the battery drains very fast,1E76B448532106D09AC0A95E13116F40,1.04E+11,Sprint,
LOST/UNREC,i no longer have it.,1.01E+11,Sprint,07-JUN-17 02.45.36.734000000 PM,
CRCKSCRN,device fell and cracked,1.09E+11,Sprint,05-JUN-17 11.50.04.629000000 PM,
CRCKSCRN,Sprint Store said LED screen cracked.,1.08E+11,Sprint,17-APR-17 12.19.17.414000000 AM,
MLFUNC,phone does not charge,1E77AC52A70005A08AF191945196A36F,1.03E+11,Sprint,
CRCKSCRN,I dropped it.,1.08E+11,Sprint,07-MAY-17 08.40.35.749000000 PM,
CRCKSCRN,My daughter drop it in the floor by mistake,1.10E+11,Sprint,22-MAY-17 09.40.13.008000000 PM,
LOST/UNREC,i missing my phone,1.09E+11,Sprint,09-MAY-17 02.56.13.357000000 AM,
CRCKSCRN,Accidentally dropped phone while celebrating her sister's birthday.,1.07E+11,Sprint,17-APR-17 02.56.29.259000000 PM,
LQDDMG,liquid,1E798D13A87405A0A20D472B551B6A04,1.10E+11,Sprint,
MLFUNC,"My phone keep shutting off on me while using it and the volume is very low and I can barely hear anything and people I call have difficulties hearing me as well. I am also having issue charging the phone, I believe the charging port is damage because I have tried different chargers and I have to wiggle it for it to charge.",1E77652A9CF909409022EBD90A7CE8F5,1.07E+11,Sprint,
LOST/UNREC,My cell phone was lost yesterday on the way to work,1.00E+11,Sprint,17-MAY-17 07.16.13.578000000 AM,
LQDDMG,Dropped in water in sink,1E799AB1561F0C908E0E9BBB59E59C3A,1.04E+11,Sprint,
STOLEN,my device stolen it in the train station,1E77F0B8F73A0CA0B8E2C5498E360678,1.10E+11,Sprint,
CRCKSCRN,my friends dog jump on me while my phone was in my pocket and landed on it,113108599,Sprint,13-APR-17 10.17.04.000000000 AM,
LQDDMG,got caught in the rain and started to malfunction there after,1E79CA21CAC0050095AB454C242D6CE1,1.03E+11,Sprint,
CRCKSCRN,Was bumped while I was texting and dropped it.,1.10E+11,Sprint,15-APR-17 07.08.44.610000000 PM,
MLFUNC,Touch ID is not working,1E775401BA470950A42F005056876829,1.10E+11,Sprint,
CRCKSCRN,phone was in pocket but this glads is very weak know of many prople who had same problems,1.00E+11,Sprint,18-MAY-17 10.38.20.055000000 PM,
LOST/UNREC,my cell phone was lost yesterday,112823874,Sprint,05-MAR-17 02.04.31.000000000 PM,
LQDDMG,water cup spilled on my phone,1E785E69DB2704E09FFC11CF12CBB4CC,1.07E+11,Sprint,
MLFUNC,I got a replacement phone and when I received it I used it for a few days and it powered off and won't come back on,1.01E+11,Sprint,10-JUN-17 11.59.08.072000000 PM,
MLFUNC,"Plugged in phone to charge, checked it several hours later and it would not turn on. I had local Sprint store check the phone and they could not get the phone to charge, replaced the battery phone still would not power on.",1E77C8CD38160DF0AC3EE155FF93531E,1.05E+11,Sprint,
MLFUNC,"I couldn't make a call, I would get an error that said call fail. When someone called, I could answer it but it would freeze and I couldnt' hear the person. I also couldn't turn the phone off to reset. Also my phone won't restore so I can't update it.",1.03E+11,Sprint,17-MAY-17 09.01.20.407000000 PM,
STOLEN,stolen in the park,1.08E+11,Sprint,16-MAY-17 03.16.28.824000000 PM,
STOLEN,My cell phone left it on the hotel table and it was stolen,1.01E+11,Sprint,23-JUN-17 11.06.00.361000000 PM,
LOST/UNREC,I forgot in the estore,112955558,Sprint,05-MAY-17 07.46.20.658000000 PM,
LQDDMG,device got wet and will not turn on,1E794B3D35AA07808457A5E2668CB032,1.02E+11,Sprint,
CRCKSCRN,it fell off my pockets several times while working,1.08E+11,Sprint,06-MAY-17 11.53.30.897000000 PM,
STOLEN,Someone stole my phone at a bus stop while I was on vacation,1.04E+11,Sprint,17-MAY-17 02.55.53.767000000 PM,
LOST/UNREC,i lost in a taxi.,1.03E+11,Sprint,23-JUN-17 01.24.25.918000000 AM,
CRCKSCRN,Screen busted,1.08E+11,Sprint,17-MAY-17 12.24.45.439000000 AM,
CRCKSCRN,I updated my phone and then it would reboot out of nowhere and then show the apple logo then cut off in a endless loop. It only comes on when plugged into a wall outlet. Now it wont come on at all and when I took it to a repair shop I dropped it and the bottom of the screen is slightly cracked. there was no water damage to the device it just keeps rebooting unexpectedly.,1.03E+11,Sprint,07-JUN-17 02.38.33.506000000 PM,
STOLEN,last night one person stolen my phone,1E78B6E9EB8B0CE0A10853CF29CEC61B,1.06E+11,Sprint,
LQDDMG,Phone was dropped in hot tub.,1.02E+11,Sprint,11-JUN-17 01.56.11.114000000 AM,
LOST/UNREC,lost me in the work,1.01E+11,Sprint,16-MAY-17 12.59.29.018000000 AM,
MLFUNC,The phone is not charging correctly; therefore the battery life doesn't last. It dies within less than 2 hours.,1.01E+11,Sprint,23-MAY-17 03.15.21.147000000 AM,
STOLEN,Stolen my cell phone in the beach,1E789EB61C7908808D5C7339CFA56652,1.01E+11,Sprint,
LQDDMG,drop wather,113301918,Sprint,17-MAY-17 04.04.57.000000000 PM,
LQDDMG,Dropped my phone in river. Cracked screen on rocks.,502B49D782472DB7E053A439030AFC78,112000000,Sprint,
MLFUNC,charging / power issues,113277519,Sprint,12-MAY-17 02.24.05.000000000 PM,
MLFUNC,"There is no memory in the phone to take pictures and I keep getting warning messages, when I have deleted all my applications, music, and messages. My iPhone plan has 50g of memory left available on the cloud but nothing will transfer over. I have nothing to even use memory except contacts. There is at least 3 times a day where I have to restart my phone because I can not send or receive messages.",1E775985E37908309022EBD90A7CE8F5,1.02E+11,Sprint,
STOLEN,My phone was stolen at a store .,1E77ECDF5A4909509D8B552A0CBC75AE,1.04E+11,Sprint,
CRCKSCRN,phone was dropped,110599612,Sprint,10-JUN-17 09.45.05.160000000 PM,
CRCKSCRN,Dropped phone on concrete ans screen shattered,1.05E+11,Sprint,17-APR-17 11.38.25.668000000 PM,
STOLEN,some one stole my purse,1E798E5C166706E0864E1920E4BB80E3,1.05E+11,Sprint,
MLFUNC,This has been happening for awhile now. It's hard to shut off & turn on. I have to use the speaker because I can not hear out of the ear piece. Apps lock the screen and I have to shut off phone in order to get the apps to dismiss.,1E77641831AC015093069355A289BC4E,1.03E+11,Sprint,
MLFUNC,The charging port isn't charging something and is every lose. The headphone sometimes don't work and I have to restart my phone,1.07E+11,Sprint,19-APR-17 12.40.48.424000000 AM,
MLFUNC,dropped while working aloft will not power on anymore,1E77BA66BC9E02F08AF191945196A36F,1.06E+11,Sprint,
LQDDMG,I was running inside durning the rain an now my phone screen won't work,4F11428E49EC0C31E053A239030A0E65,113000000,Sprint,
MLFUNC,"i have been using my work normally. I need to have a working phone for my type of work and i have a kid who i need to stay in touch with always. The phone is running real slow, battery dies and sometimes doesnt even charge. Also, apps keep crashing for no reason.",1E77ADE450EB06908AF191945196A36F,1.10E+11,Sprint,
MLFUNC,The fonts won't go back to normal,1.06E+11,Sprint,06-MAY-17 02.45.48.394000000 PM,
STOLEN,i stolen my phone,1.04E+11,Sprint,16-MAY-17 06.36.00.753000000 PM,
MLFUNC,on 8/3 a green screen just came on my phone. now it won't stay on.,1E779270B28805E09EB865F6B4202010,1.03E+11,Sprint,
MLFUNC,It was dropped and will now not power,1E7797AB0CA502F09EB865F6B4202010,1.03E+11,Sprint,
LQDDMG,My daughter dropped my phone in the sink,1E7899A6A5ED0C20B6490FDA409B0CBF,1.00E+11,Sprint,
MLFUNC,"Quit getting service, reconnected to network, still not working. I haven't had any network issues until I upgraded to this phone.",1E777005D23706809022EBD90A7CE8F5,1.05E+11,Sprint,
MLFUNC,"Phone started getting extremely hot and could not charge fast enough to stay on , it wont turn on or charge at all now. Software issue, I'm assuming.",1.03E+11,Sprint,04-MAY-17 01.29.17.934000000 PM,
LQDDMG,fell into pool,111228426,Sprint,14-APR-17 08.37.02.286000000 PM,
LQDDMG,Smashed and liquid damage,1E754F8F9E4B0F308785005056873580,1.02E+11,Sprint,
LOST/UNREC,Left tablet in rental car Thrifty rental at LAX,1.01E+11,Sprint,18-APR-17 02.12.25.442000000 AM,
MLFUNC,just lost signal one day,1.03E+11,Sprint,16-APR-17 11.00.58.055000000 AM,
CRCKSCRN,Dropped my phone on its face and the screen broke,1.06E+11,Sprint,10-JUN-17 03.38.28.770000000 PM,
CRCKSCRN,Cracked screen touch screen doesn't work,1.01E+11,Sprint,17-MAY-17 03.56.31.765000000 PM,
STOLEN,Was stolen from booksack.,1E752C1E0BBC0FA0B53FAB11709CA4EE,1.01E+11,Sprint,
CRCKSCRN,Phone works perfectly fine the screen is just slightly cracked.,1.06E+11,Sprint,04-MAY-17 12.47.39.068000000 AM,
MLFUNC,phone will no longer take a charge through the usb connector,1E7763B884F305D093069355A289BC4E,1.06E+11,Sprint,
CRCKSCRN,Dropped small crack but screen is just black cant see anything,1.07E+11,Sprint,19-MAY-17 02.41.56.100000000 PM,
CRCKSCRN,"My dog got hold of it during the night, chewed the corners trying to get the case off. we no longer have a dog",1.03E+11,Sprint,18-APR-17 09.46.12.109000000 PM,
LOST/UNREC,it was dropped in the lake i am un abel to recover my phone,1.02E+11,Sprint,19-JUN-18 10.14.36.482000000 PM,
STOLEN,my phone stolen i was street fuck boy,1E76980DD2C00730810785C758E8D6B0,1.03E+11,Sprint,
LQDDMG,completely smashed and liquid,1.08E+11,Sprint,10-MAY-17 12.31.00.307000000 AM,
LQDDMG,My screen is cracked,1E7A974AB72F0DF0A65E8764A70A9DF7,1.01E+11,Sprint,
MLFUNC,The screen jumps from page to page. Can not text or use any apps but siri is working.,1E77D52682930210924D03A2F89DC9E9,1.03E+11,Sprint,
LQDDMG,It was exposed to water while it was inside a gym bag.,1E710CE2DF990C10BDA9005056874965,113000000,Sprint,
LOST/UNREC,Lost,1.10E+11,Sprint,17-MAY-17 01.03.21.502000000 AM,
MLFUNC,The phone restarts when below 80 percent power anytime im watching videos battery life is abour 40 min its required to be plugged in at all times its not a mobile phone at this point its a corded one its restarting about 30 times a day,1.00E+11,Sprint,06-JUN-17 12.57.27.615000000 PM,
CRCKSCRN,broke screen,1.00E+11,Sprint,14-JUN-17 12.06.47.786000000 AM,
MLFUNC,Phone keeps resetting and will not stay on.,1E77E288236F01C0A81B0F8C418D0E55,1.02E+11,Sprint,
LOST/UNREC,I Lost my phone in the mall with my grandmother,1.10E+11,Sprint,04-MAY-17 04.13.55.663000000 PM,
CRCKSCRN,i dropped my phone and it cracked.,1.05E+11,Sprint,08-JUN-17 04.35.00.514000000 PM,
CRCKSCRN,Phone had blanked out,1.00E+11,Sprint,18-MAY-17 12.02.42.291000000 AM,
CRCKSCRN,i drop my phone,1.00E+11,Sprint,19-APR-17 11.18.37.838000000 PM,
LOST/UNREC,Lost,1.09E+11,Sprint,23-JUN-17 09.59.52.362000000 PM,
STOLEN,my boyfriend who is now my ex has stolen and broken my phone into pieces in which it is no longer usable,1E775BE1C8CE004093069355A289BC4E,1.07E+11,Sprint,
LOST/UNREC,I lost it in a taxi cab in chicago,1.05E+11,Sprint,09-MAY-17 03.31.32.705000000 PM,
CRCKSCRN,phone was in a car charge that kept going in and out/off and on. when I took the phone off the charge the screen was blank. I can still receive call/text. I can answer the phone by swiping the screen(but can not see the screen) the phone is still powered on,1.01E+11,Sprint,19-APR-17 02.23.30.060000000 AM,
LOST/UNREC,I lost,1.06E+11,Sprint,08-JUN-17 07.02.35.208000000 PM,
CRCKSCRN,Phone crack from the heat in car.,1.01E+11,Sprint,17-MAY-17 09.38.06.990000000 PM,
LOST/UNREC,I was with my daughter in the park and I lost my cell phone...,1.02E+11,Sprint,16-MAY-17 09.42.38.566000000 PM,
CRCKSCRN,I tripped and the phone flew out of my hand and shattered.,110949308,Sprint,08-JUN-17 03.37.00.648000000 AM,
LOST/UNREC,lost it,1.10E+11,Sprint,07-JUN-17 02.31.03.062000000 AM,
LOST/UNREC,Lost my phone,1.01E+11,Sprint,06-MAY-17 01.43.04.954000000 AM,
CRCKSCRN,was listening to music and screen went white can text but only threw siri cant shut off the phone or use the screen unless its to send a text in siri. Other than that the screen is all white and i cant do anything,1.01E+11,Sprint,14-APR-17 03.57.22.852000000 PM,
LQDDMG,"Phone was cracked but still had no problems, calls don't come through and text come late phone buffers and presses buttons on its own",1E75905E170905D0ADE6830C20C97074,1.02E+11,Sprint,
LQDDMG,Last night I was with my family at the pool and my cell phone dropped and I got wet,1.07E+11,Sprint,20-APR-17 04.50.39.989000000 PM,
MLFUNC,GPS is not working. Went in to sprints ans they could not fix it. Also went into apple to try and get it fixed.,1.01E+11,Sprint,23-JUN-17 10.21.54.272000000 PM,
CRCKSCRN,dropped phone and screen is now unreadable,1.05E+11,Sprint,08-MAY-17 09.05.52.502000000 PM,
CRCKSCRN,CAMERA IS CRACKED,1.10E+11,Sprint,06-JUN-17 02.08.16.109000000 PM,
LOST/UNREC,I went to the lake with family on boat. Phone ended up slipping out of hand and falling into water.,1.02E+11,Sprint,03-JUN-18 07.20.05.538000000 AM,
LOST/UNREC,"i go out to the supermarket to buy some food to me, when i was in the supermarket i had my phone on my bag, when i came back to my car i did not find my phone i tried to call but was very late, the phone was off and i dont know where my phone",1.05E+11,Sprint,06-JUN-17 03.22.31.784000000 PM,
LOST/UNREC,The train,1.08E+11,Sprint,09-JUN-17 07.35.47.171000000 PM,
STOLEN,Got stolen from work,1E74002AF3550630AB6FABC8D0E35EF9,1.10E+11,Sprint,
LQDDMG,i accidentally drop my phone in the toilet,1.04E+11,Sprint,18-APR-17 06.51.44.619000000 PM,
STOLEN,my was cell stolen,1E7690CE41110BE09AC0A95E13116F40,1.04E+11,Sprint,
CRCKSCRN,phone wqs dropped 2 cracks in screen and screens goes out sometimes,112866627,Sprint,10-MAR-17 04.49.53.000000000 PM,
LOST/UNREC,May have lost it when I went out of town,1.05E+11,Sprint,14-APR-17 07.11.15.681000000 PM,
CRCKSCRN,dropped and cracked screen,1.03E+11,Sprint,08-JUN-17 08.02.18.497000000 PM,
MLFUNC,The phone does not turn on the more was a little lines going to the screen,1E756A5AE5CA08308BE6005056872713,1.04E+11,Sprint,
MLFUNC,Will not turn on. Just shows apple symbol and turns red,1E77A3D9B0F30BB09EB865F6B4202010,1.07E+11,Sprint,
LQDDMG,"Took to sprint store, they said they say moisture in the USB jack. But was working before I dropped it.",1E78BADA3A080AA0B6490FDA409B0CBF,1.07E+11,Sprint,
LOST/UNREC,MY PHONE LOST ME IN THE PARK,1.05E+11,Sprint,10-JUN-17 06.25.28.389000000 PM,
MLFUNC,The speakers don't work on left side makes hard to hear when on phone also,1E77FE126FCA04709D8B552A0CBC75AE,1.09E+11,Sprint,
MLFUNC,A few weeks ago the phone stopped charging. I tried other chargers and other outlets and it would not charge the battery. I would plug it in and it would continually drain the battery while trying to charge,1E778A93688C0A709EB865F6B4202010,1.08E+11,Sprint,
STOLEN,"some guy stolen my phone and he call me say that i have your phone come get it my house ,so i say yeah sure .then he on off the phone so when i call him he didn't pic up the phone .i call a cop he didn't help.",1E70C4F05E5D0EB0AFB7005056874965,112000000,Sprint,
LQDDMG,Fell on the ground in water,522D80592A975F4BE053A339030A2233,113000000,Sprint,
LQDDMG,"I was working handling heavy objects, my phone got knocked off shelving unit into a bucket of water.",1E70C4F334AA0890BEF0005056870405,112000000,Sprint,
LOST/UNREC,i lost my phone in the bus,1.05E+11,Sprint,16-MAY-17 03.07.51.007000000 AM,
LOST/UNREC,i lost my phone yesterday,1.08E+11,Sprint,22-MAY-17 11.44.44.433000000 PM,
LOST/UNREC,my cell phone lost it at the bus stop,1.05E+11,Sprint,08-JUN-17 08.38.56.575000000 PM,
LOST/UNREC,Phone was knocked out of hand with belonging ( domestic situation) and fell in bayou.,1.02E+11,Sprint,15-JUN-18 10.56.20.166000000 PM,
CRCKSCRN,Screen of the phone is all blank,1.09E+11,Sprint,05-MAY-17 04.50.47.426000000 AM,
