COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE,
MLFUNC,Can't hear and they can't hear cracking sounds,1.04E+11,Sprint,04-MAY-17 12.36.02.813000000 AM,
MLFUNC,Just went off and won't charge nor come back on.,1.09E+11,Sprint,04-MAY-17 12.43.50.034000000 AM,
MLFUNC,Can't hear and they can't hear cracking sounds,1.04E+11,Sprint,04-MAY-17 12.54.33.254000000 AM,
MLFUNC,Screen has black lines in it. Can not unlock screen,1.01E+11,Sprint,05-APR-17 06.09.26.544000000 PM,
MLFUNC,"in the center screen, the screen looks pale but there are three spots and the brightness and display won't go higher than half.",112611674,Sprint,05-FEB-17 05.21.21.000000000 PM,
MLFUNC,I just can't hear at times when i'm on a call i have to turn on the speaker,112608167,Sprint,05-FEB-17 08.44.50.000000000 AM,
MLFUNC,All it says is no service,1.06E+11,Sprint,05-MAY-17 01.32.29.524000000 AM,
MLFUNC,Will not charge and keep turning off,1.00E+11,Sprint,05-MAY-17 01.39.38.759000000 AM,
MLFUNC,Dropped phone. Charging port is damaged. Charger plug does not seat properly. it does not go into charging port completely and comes out to easily. phone only charges when charger plug in pushed in very firmly and help at an angle. Charging is intermittent,1.03E+11,Sprint,05-MAY-17 01.43.54.510000000 AM,
MLFUNC,"Device crashed. Keeps trying to re-boot, but won't turn back on.",1.10E+11,Sprint,05-MAY-17 01.44.13.660000000 AM,
MLFUNC,When I try to touch the screen is doesn't work. It does not respond to touch input.,1.00E+11,Sprint,05-MAY-17 02.40.28.368000000 AM,
MLFUNC,"The phone began about a week ago turning itself on and off. Now it is in a fairly constant state of rebooting and shutting off. occasionally when it is on, it appears to work, it just won't stay on.",1.05E+11,Sprint,05-MAY-17 02.41.58.352000000 AM,
MLFUNC,Phone won't charge.,1.01E+11,Sprint,05-MAY-17 03.18.44.018000000 PM,
MLFUNC,My device was dropped and camera is broken,1.08E+11,Sprint,05-MAY-17 03.19.17.974000000 AM,
MLFUNC,Paid the deductible to get a replacement phone and sprint sends me a refurbished phone which keep over heating screen malfunction. Ive only had this phone a few months,110693015,Sprint,05-MAY-17 03.42.55.329000000 AM,
MLFUNC,It fell out of my hand with the otter box on it when's i was getting off my semi. And I checked it was working fine until I put it to charge. My battery lose a charge real quick.,110783409,Sprint,05-MAY-17 04.57.15.448000000 PM,
MLFUNC,Phone will not turn on.,1.06E+11,Sprint,05-MAY-17 05.04.21.345000000 PM,
MLFUNC,My son dropped his phone on 5/3/17. The phone's screen didn't crack. The phone will not charge. Can't talk on the phone without putting on speaker phone. The camera works sometimes. Intermittent touch screen problems.,1.07E+11,Sprint,05-MAY-17 05.26.06.865000000 PM,
MLFUNC,I put it on the charger and it didn't come back on,1.09E+11,Sprint,05-MAY-17 05.26.53.721000000 PM,
MLFUNC,Went to go use tablet and screen was black seems to be on can still here notifications. Screen was working just fine a hour before.,1.00E+11,Sprint,05-MAY-17 05.58.29.798000000 PM,
MLFUNC,i does not turn on.,1.00E+11,Sprint,05-MAY-17 06.07.18.800000000 PM,
MLFUNC,the charge port no longer works. i can charge the phone on a wireless charging pad,1.04E+11,Sprint,05-MAY-17 06.40.38.123000000 PM,
MLFUNC,The device was charging and suddenly went to the boot up screen and is stuck on the boot up screen and won't fully boot.,1.04E+11,Sprint,05-MAY-17 06.46.18.168000000 PM,
MLFUNC,The charger port is not working,1.06E+11,Sprint,05-MAY-17 07.11.35.461000000 PM,
MLFUNC,"Phone glitches, freezes, battery drains quick, and over heats",1.03E+11,Sprint,05-MAY-17 07.13.41.927000000 PM,
MLFUNC,"I was in the middle of a call when the phone screen went black and the call dropped. The phone never worked again. Before this, the phone was working perfectly. It will not charge or turn on. I did not know how to answer the rest of the questions because obviously with a dead phone none of the other items will work either.",1.00E+11,Sprint,05-MAY-17 07.50.31.370000000 PM,
MLFUNC,"It just stopped working with no ""event"" known to have caused the problem.",1.08E+11,Sprint,05-MAY-17 09.20.38.099000000 PM,
MLFUNC,"My phone keeps turning on and off. The battery level will be at 100% and after taking a picture, typing out a Text, making a phone call or using other apps it instantly shuts off. It'll usually come back on staying it has 10% battery life afterward if it turns back on at all. It just wont stay charged and will only charge if its pluggled into a wall outlet.",1.02E+11,Sprint,05-MAY-17 10.09.02.011000000 PM,
MLFUNC,no damage was done to device. the fingerprint recognition just stopped working entirely and phone randomly shuts down.,113244421,Sprint,05-MAY-17 10.40.21.000000000 PM,
MLFUNC,Phone is shutting of itself. Corporate store try to repair 5 time stated it's a software issue they can not fix,1.04E+11,Sprint,05-MAY-17 10.55.16.033000000 PM,
MLFUNC,Phone was charged overnight and could not go beyond the apple logo in the morning,1.08E+11,Sprint,05-MAY-17 11.10.25.187000000 PM,
MLFUNC,I was charging my phone battery overheated and phone would not come back on or charge.,1.08E+11,Sprint,05-MAY-17 11.27.51.768000000 PM,
MLFUNC,Not sure. It just turned off and is not turning back on.,1.09E+11,Sprint,05-MAY-17 11.57.29.936000000 PM,
MLFUNC,Screen went black and only the top 1/3 of the screen can be seen,1.06E+11,Sprint,05-MAY-17 12.38.05.025000000 AM,
MLFUNC,Screen and battery damage no cracks,1.08E+11,Sprint,05-MAY-17 12.38.25.984000000 AM,
MLFUNC,Phone does not ring when I get a call. Callers cannot hear me when I call.,1.03E+11,Sprint,05-MAY-17 12.41.00.657000000 AM,
MLFUNC,Phone keeps restarting and shutting off and will not charge very fast,1.00E+11,Sprint,06-JUN-17 01.17.42.427000000 PM,
MLFUNC,Freezing up,1.04E+11,Sprint,06-JUN-17 01.30.05.257000000 PM,
MLFUNC,Battery dying quickly.,1.02E+11,Sprint,06-JUN-17 01.31.59.012000000 PM,
MLFUNC,THE DEVICE JUST DIE AND ITS A BLANK SCREEN THAT'S ALL SENT ME A NEW ONE AND IPHONE ITS POSSIBLE 7 PLUS OR SOMETHING,1.08E+11,Sprint,06-JUN-17 01.36.10.192000000 AM,
MLFUNC,I can barely hear out of my phone unless it is in speaker phone.,1.05E+11,Sprint,06-JUN-17 01.37.52.216000000 AM,
MLFUNC,THE TELEPHONE WAS CALCULATING AND FAILED TO WORK CORRECTLY,1.03E+11,Sprint,06-JUN-17 01.45.31.232000000 PM,
MLFUNC,My phone always blacks out and I cannot use it until it turns back on. Also it runs very slowly and freezes alot,1.02E+11,Sprint,06-JUN-17 01.48.09.836000000 AM,
MLFUNC,wont charge,1.07E+11,Sprint,06-JUN-17 01.49.39.502000000 AM,
MLFUNC,The was working fine ..the screen went got blurry just messed up went sprint store work order was Placed,1.03E+11,Sprint,06-JUN-17 02.02.40.389000000 AM,
MLFUNC,Phone battery will not hold charge - need a replacement phone,1.10E+11,Sprint,06-JUN-17 02.03.41.445000000 PM,
MLFUNC,Phone keeps freezing and screen lags. Does not react to charger.,113238156,Sprint,06-JUN-17 02.16.47.432000000 AM,
MLFUNC,"I have had battery problems with my phone for many months. Phone would die at 30 percent. Took it into sprints repair shop. They said they swapped out my battery, i didn't have a problem with it for maybe 2 weeks. I'm very busy and let the battery problem exist until the 29th when my girlfriend pointed out that my camera lens was cracked. Took it into sprint and they said my phone was unrepairable. They wanted me to upgrade, but i need a Galaxy note for my business. I take lots of notes.",1.06E+11,Sprint,06-JUN-17 02.22.09.782000000 PM,
MLFUNC,"Phone keeps turning on and Off , gets frozen screens..will turn off and come back on very slow Battery gets too hot like if it has a virus!!!",1.04E+11,Sprint,06-JUN-17 02.32.03.457000000 AM,
MLFUNC,"It blacked out. Also Freezing up,",1.04E+11,Sprint,06-JUN-17 02.38.18.143000000 AM,
MLFUNC,It will just push things that are not being push like it has a mind of its own,1.08E+11,Sprint,06-JUN-17 02.50.05.300000000 AM,
MLFUNC,"I'm not sure what happened, the phone died last night and it won't charge. I've tried multiple chargers and outlets, so I know it's the phone",1.10E+11,Sprint,06-JUN-17 03.03.59.032000000 PM,
MLFUNC,Phone will not charge and i have tried multiple cords to get it to charge even a new one.,1.03E+11,Sprint,06-JUN-17 03.12.17.154000000 PM,
MLFUNC,It just stopped working.,1.09E+11,Sprint,06-JUN-17 03.20.38.511000000 PM,
MLFUNC,"Screen started showing faint lines on the right side of the screen, now nothing works on that side",112511503,Sprint,06-JUN-17 03.22.33.636000000 PM,
MLFUNC,"The screen turned to static, then the phone turned off and now it won't turn back on.",1.01E+11,Sprint,06-JUN-17 03.22.39.558000000 PM,
MLFUNC,my phone won't connect to the mobile network. cant make or receive calls or texts .,1.06E+11,Sprint,06-JUN-17 03.50.34.173000000 AM,
MLFUNC,Only the front facing camera works the other does not. Shows up blank screen,1.08E+11,Sprint,06-JUN-17 03.53.59.097000000 PM,
MLFUNC,device did not charge past 1 percent. attempted restore on itunes but itunes could not complete restore,1.09E+11,Sprint,06-JUN-17 03.55.00.074000000 AM,
MLFUNC,My screen is frozen I am not able to touch any app nothing will work.,1.09E+11,Sprint,06-JUN-17 03.58.49.605000000 PM,
MLFUNC,"iPhone hardware malfunction. Checked out by Sprint/Apple diagnostician, results - panic problems with hardware. Claim ID 100866842127",1.01E+11,Sprint,06-JUN-17 03.59.45.020000000 AM,
MLFUNC,"Was charging the phone, came back and phone would not come back on. Total black screen and no indicator to notify me it was charging. Phone will not come back on. Holding buttons etc nothing is working.",1.06E+11,Sprint,06-JUN-17 03.59.56.139000000 PM,
MLFUNC,"Would not turn on, or take a charge. Took it into sprint shop and was told there was broken pins and corrosion.",1.05E+11,Sprint,06-JUN-17 04.12.39.530000000 PM,
MLFUNC,phone wont turn on. it is charged.,1.03E+11,Sprint,06-JUN-17 04.21.18.789000000 AM,
MLFUNC,i was using my device last night . and the internet . screen went black and will not turn on or anything,1.08E+11,Sprint,06-JUN-17 04.35.18.394000000 PM,
MLFUNC,"Speakers haven't worked pretty much the entire time, I've been to Apple and Sprint store to clean the speakers. I cant hear people very well via speakers, facetime. I literally have to hold the phone sideways and pushed against my ear to barely hear them talk. Also phone just freezes, doesn't let me do nothing. I cant turn off or on. This has been happening a lot lately.",1.08E+11,Sprint,06-JUN-17 04.38.05.574000000 PM,
MLFUNC,Charging port is broken. Phone will not charge. Sprint tech says it is corroded.,1.02E+11,Sprint,06-JUN-17 04.43.06.093000000 PM,
MLFUNC,I took the phone to the local sprint office and was told that the port that is used to charge the phone is damaged.,1.05E+11,Sprint,06-JUN-17 04.55.55.185000000 PM,
MLFUNC,No Service,1.09E+11,Sprint,06-JUN-17 05.04.35.161000000 AM,
MLFUNC,THE PHONE IS IN GOOD CONDITION THE HOME BUTTON WILL NOT WORK SO PHONE IS NOT ABLE TO BE USED .,1.03E+11,Sprint,06-JUN-17 05.11.53.343000000 PM,
MLFUNC,not charging the speaker doesnt work and neither does the ear peice,1.03E+11,Sprint,06-JUN-17 05.13.13.400000000 AM,
MLFUNC,My phone won't charge and it keeps saying something about the temperature is too hot. It also keeps shutting down.,1.06E+11,Sprint,06-JUN-17 05.47.20.634000000 PM,
MLFUNC,"blank screen, sometimes I get yellow lines",113315988,Sprint,06-JUN-17 06.01.40.706000000 AM,
MLFUNC,The charging port seems loose. Im using the original charger and cord and it still will not charge. It says that it is charging but the battery charges at an extremely slow rate. Ive had it on the charger from 0 precent to 65 percent in 3 days.,1.00E+11,Sprint,06-JUN-17 06.05.58.048000000 PM,
MLFUNC,Screen has vertical stripes then goes black.,1.08E+11,Sprint,06-JUN-17 06.11.10.874000000 PM,
MLFUNC,voice problem. voice vibration,1.02E+11,Sprint,06-JUN-17 06.15.17.541000000 AM,
MLFUNC,"Phone completely shut off, it was charged when it happened, I tried to turn it on and the only thing that comes up is a red screen or the apple symbol",1.02E+11,Sprint,06-JUN-17 06.45.13.012000000 PM,
MLFUNC,Phone got low on battery and will not charge,1.03E+11,Sprint,06-JUN-17 07.05.43.234000000 PM,
MLFUNC,the phone is not properly working,1.05E+11,Sprint,06-JUN-17 07.09.25.622000000 PM,
MLFUNC,My voice is muffled and there's a lot of static no one can understand anything I say.,1.07E+11,Sprint,06-JUN-17 07.21.19.589000000 AM,
MLFUNC,Won't turn on.,1.03E+11,Sprint,06-JUN-17 07.26.19.145000000 PM,
MLFUNC,charging port issue. Happened since last update.,1.01E+11,Sprint,06-JUN-17 07.26.51.958000000 PM,
MLFUNC,i was trying to get into my phone one day and noticed that I couldn't touch to get in I had to use my finger. When I got to my home screen I realized I couldn't do anything and my screen kept flickering up at the top.,1.05E+11,Sprint,06-JUN-17 07.30.59.917000000 PM,
MLFUNC,"The battery will not stay charged, it drains in minutes after being fully charged.",1.09E+11,Sprint,06-JUN-17 07.41.54.444000000 PM,
MLFUNC,"Phone was charging perfectly fine until this afternoon. Phone will charge intermittently, or not at all or charge very slowly",1.03E+11,Sprint,06-JUN-17 07.50.35.235000000 PM,
MLFUNC,when placing and receiving call no one can hear me and I can barley hear them,1.01E+11,Sprint,06-JUN-17 08.02.35.775000000 PM,
MLFUNC,My phone will not power up. Happened since the last update.,1.01E+11,Sprint,06-JUN-17 08.03.24.540000000 PM,
MLFUNC,Phone starts crashing around 15% or when earphones/aux cable connected.,1.08E+11,Sprint,06-JUN-17 08.23.21.731000000 PM,
MLFUNC,my phone dont want to power on,1.07E+11,Sprint,06-JUN-17 08.24.54.111000000 PM,
MLFUNC,The phone does not stay charged and turns off even when it is fully charged.,1.08E+11,Sprint,06-JUN-17 08.58.53.328000000 PM,
MLFUNC,my camera does not open or turn on. Restarting it does not work.,1.00E+11,Sprint,06-JUN-17 09.09.24.139000000 PM,
MLFUNC,phone fell out of pocket and was accidentally ran over by the car.,1.07E+11,Sprint,06-JUN-17 09.23.51.572000000 PM,
MLFUNC,"Nothing in particular happened with my phone, I had it in my purse and went to use it and it wasn't registering touch as well. I had to press harder for the touch screen to register. It also is slightly delayed and freezes more than usual. Also, since the most recent update, the audio on calls is very quiet and it is more difficult to hear when not on speaker.",1.03E+11,Sprint,06-JUN-17 09.27.28.116000000 PM,
MLFUNC,"Camera is not working, device constantly freezes, cannot answer phone calls at times because of the frozen screen, an de the phonerestarts itself on its own.",1.05E+11,Sprint,06-JUN-17 09.56.28.938000000 PM,
MLFUNC,"Does not charge, looks mess up in there.",1.02E+11,Sprint,06-JUN-17 10.09.35.980000000 PM,
MLFUNC,Upgraded phone now it glitches,1.07E+11,Sprint,06-JUN-17 10.10.05.819000000 PM,
MLFUNC,Touch Screen does not work so I am unable to use the phone,1.01E+11,Sprint,06-JUN-17 10.25.54.488000000 AM,
MLFUNC,screen is malfunctioning,1.01E+11,Sprint,06-JUN-17 10.32.08.339000000 PM,
MLFUNC,The would get too hot for no reason and it would be off the charger too. Turn itself on and off,1.04E+11,Sprint,06-JUN-17 10.37.07.386000000 PM,
MLFUNC,iPhone will not charge pass 14%,1.03E+11,Sprint,06-JUN-17 11.27.49.860000000 PM,
MLFUNC,I woke up in the morning and my phone screen just got blank the phone start normaly but i cant see nothing in the screen,1.05E+11,Sprint,06-JUN-17 11.53.04.528000000 PM,
MLFUNC,It will not charge.,1.07E+11,Sprint,06-JUN-17 11.53.57.001000000 PM,
MLFUNC,My phone will not even charge or power on before I was able to reset the phone and it would eventually come back on but it will just randomly turn off lock up for not come back on my phone has been off more in the past month than it has been on,1.04E+11,Sprint,06-JUN-17 12.10.01.357000000 PM,
MLFUNC,powers down and wont come back on,1.08E+11,Sprint,06-JUN-17 12.23.31.547000000 AM,
MLFUNC,Put to charge and not turn on Again,1.03E+11,Sprint,06-JUN-17 12.28.57.297000000 PM,
MLFUNC,Phone was inspected by sprint store. Determined phone malfunctions were caused by corrosion spots on screws and components. Store ticket # 38X115929143. Told to contact Asurion.,1.06E+11,Sprint,06-JUN-17 12.36.20.773000000 PM,
MLFUNC,device is turning off,1.09E+11,Sprint,06-JUN-17 12.42.18.438000000 AM,
MLFUNC,Charger doesn't stay plugged in and cannot charge phone,1.06E+11,Sprint,06-JUN-17 12.51.18.522000000 PM,
MLFUNC,I tried to charge it and it will not charge. Sometimes it does not even turn on. Also it randomly calls people.,111361732,Sprint,06-JUN-17 12.55.27.411000000 AM,
MLFUNC,The phone restarts when below 80 percent power anytime im watching videos battery life is abour 40 min its required to be plugged in at all times its not a mobile phone at this point its a corded one its restarting about 30 times a day,1.00E+11,Sprint,06-JUN-17 12.57.27.615000000 PM,
MLFUNC,The fonts won't go back to normal,1.06E+11,Sprint,06-MAY-17 02.45.48.394000000 PM,
MLFUNC,Phone froze up was unable to use. Then the device shut down and would not power back on.,1.05E+11,Sprint,06-MAY-17 02.57.04.471000000 AM,
MLFUNC,The home botton is not working and the battery is going,1.05E+11,Sprint,06-MAY-17 03.17.54.287000000 AM,
MLFUNC,Device stopped being able to charge. Cannot get to home screen.,1.03E+11,Sprint,06-MAY-17 03.44.51.234000000 PM,
MLFUNC,phone died put on charger after charged phone would not turn on or off at screen that says lte plus,112755651,Sprint,06-MAY-17 03.59.52.902000000 AM,
MLFUNC,"The screen just went blank - when I tried to charge, the apple logo would cycle on and off but it wouldn't charge - I tried to hard restart and to do a reset, but neither would work",1.00E+11,Sprint,06-MAY-17 04.05.38.380000000 PM,
MLFUNC,the motherboard of my phone is burned and i realized when i unplugged my phone,1.06E+11,Sprint,06-MAY-17 05.02.19.154000000 AM,
MLFUNC,Battery doesn't stay charged for long. Screen is blurry and has purple discoloration. Phone kept in case and never been damaged.,1.07E+11,Sprint,06-MAY-17 06.24.47.407000000 PM,
MLFUNC,My phone fell from the counter while I was in the shower. Has some dead spots where the pixels are a different color and there is limited touch screen effectiveness.,1.09E+11,Sprint,06-MAY-17 06.49.39.067000000 PM,
MLFUNC,my phone just wouldn't charge when plugged into charger. wouldn't turn on even when holding power and home. just stopped working. Not sure if it’s the buttons or the battery.,113248559,Sprint,06-MAY-17 07.32.26.000000000 PM,
MLFUNC,was texting and then the screen suddenly went black,1.02E+11,Sprint,06-MAY-17 09.35.26.651000000 PM,
MLFUNC,"I am having issues charging my phone, only certain cables will work. Also, the phone will barely hold a charge, will only last a few hours.",113245031,Sprint,06-MAY-17 10.00.35.000000000 AM,
MLFUNC,i cannot hear out of the piece when I hold it up to my ear.,1.04E+11,Sprint,06-MAY-17 10.08.28.019000000 PM,
MLFUNC,screen went blank. Before then it was glitching.,1.03E+11,Sprint,07-JUN-17 01.10.27.567000000 AM,
MLFUNC,the phone is glitching,1.03E+11,Sprint,07-JUN-17 01.14.24.598000000 PM,
MLFUNC,The battery discharges to 66% then goes to about 43% and dies within a few minutes. The battery has now become swollen and has separated the back of he phone from rest of enclosure.,1.04E+11,Sprint,07-JUN-17 01.17.11.427000000 AM,
MLFUNC,The camera and flashlight are inoperative. The screen in black when I go to the camera app. The happened after my last software update. ,1.01E+11,Sprint,07-JUN-17 01.27.34.058000000 AM,
MLFUNC,Unable to answer calls or text,1.04E+11,Sprint,07-JUN-17 01.58.33.471000000 PM,
MLFUNC,The phone blinks off and on displaying the apple sign.,1.04E+11,Sprint,07-JUN-17 01.59.59.135000000 AM,
MLFUNC,It get blanked sometimes,1.06E+11,Sprint,07-JUN-17 02.01.29.155000000 AM,
